F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15
2025/2026,ISGRCMP631,Systemes Mecaniques Ii,22.0,CMP,03,semestre2,3.0,45.0,45.0,,,,,oui
2025/2026,ISGRCMP632,"Projet Tutore Et
Stage",22.0,CMP,03,semestre2,3.0,45.0,45.0,,,,,oui
2025/2026,ISGRGC523,Developpement Durable,21.0,BCI,03,semestre1,2.0,30.0,30.0,,,,,oui
2025/2026,ISGRGC562,Ingenierie Des Betons,21.0,BCI,03,semestre1,2.0,30.0,30.0,,,,,oui
2025/2026,ISGRGC631,Mecanique Des Fluides,21.0,BCI,03,semestre2,3.0,45.0,45.0,,,,,oui
2025/2026,ISGRQSRI562,Systemes Constructifs,21.0,QSRI,03,semestre1,2.0,30.0,30.0,,,,,oui
2025/2026,ISGRCMP523,"Developpement
Durable",21.0,CMP,03,semestre1,2.0,30.0,30.0,,,,,oui
2025/2026,ISGRCMP542,"Fabrication
Mecanique",21.0,CMP,03,semestre1,3.0,45.0,45.0,,,,,oui
2025/2026,ISGRCMP551,Systemes Mecaniques I,21.0,CMP,03,semestre1,3.0,45.0,45.0,,,,,oui
2025/2026,ESIACCMP562,Systemes Constructifs,21.0,CMP,03,semestre1,2.0,30.0,30.0,,,,,oui
2025/2026,ISGRCMP611,"Mecanique Des
Fluides",21.0,CMP,03,semestre2,3.0,45.0,45.0,,,,,oui
2025/2026,LSI4020, Gestion De La Santé ,21.0,SI,04,semestre1,,16.0,16.0,,,,,oui
2025/2026,LSF4113, Gestion Hospitalière,21.0,CFPSFM,04,semestre1,,16.0,16.0,,,,,oui
2025/2026,LSF4112, Droit Et Législation,21.0,CFPSFM,04,semestre1,,16.0,16.0,,,,,oui
2025/2026,ISGRGC642,Hydrologie Appliquee,20.0,BCI,03,semestre2,3.0,45.0,45.0,,,,,oui
2025/2026,LSI4110, Projet De Recherche,20.0,SI,04,semestre2,1.0,12.0,12.0,,,,,oui
2025/2026,LSF4110, Projet De Recherche,20.0,CFPSFM,04,semestre2,,16.0,16.0,,,,,oui
2025/2026,ISGRGC541,Mecanique Des Sols,18.0,BCI,03,semestre1,3.0,45.0,45.0,,,,,oui
2025/2026,ISGRGL511,Analyse Numerique,17.0,IGL,03,semestre1,2.0,30.0,30.0,,,,,oui
2025/2026,ISGRGL552,Developpement Web,17.0,IGL,03,semestre1,3.0,45.0,45.0,,,,,oui
2025/2026,ISGRCMP511,Analyse Numerique,17.0,CMP,03,semestre1,2.0,30.0,30.0,,,,,oui
2025/2026,ISGRCMP621,Electrotechnique,16.0,CMP,03,semestre2,2.0,30.0,30.0,,,,,oui
2025/2026,ISGRGC612,Beton Arme 1,12.0,BCI,03,semestre2,3.0,45.0,45.0,,,,,oui
2025/2026,ISGRGC621,Architecture,12.0,BCI,03,semestre2,3.0,45.0,45.0,,,,,oui
2025/2026,ISGRGC632,Hydraulique,11.0,BCI,03,semestre2,3.0,45.0,45.0,,,,,oui
2025/2026,ISGRCMP652,Metrologie,10.0,CMP,03,semestre2,2.0,30.0,30.0,,,,,oui
2025/2026,ISGRGC622,Urbanisme,9.0,BCI,03,semestre2,3.0,45.0,45.0,,,,,oui
2025/2026,ISGRGL531,Ccna 1,6.0,IGL,03,semestre1,3.0,45.0,45.0,,,,,oui
2025/2026,ISGRGC522,Sport,5.0,BCI,03,semestre1,1.0,15.0,15.0,,,,,oui
2025/2026,ISGRGL522,Sport,5.0,IGL,03,semestre1,1.0,15.0,15.0,,,,,oui
2025/2026,ISGRQSRI522,Sport,5.0,QSRI,03,semestre1,1.0,15.0,15.0,,,,,oui
2025/2026,ISGRCMP522,Sport,5.0,CMP,03,semestre1,1.0,15.0,15.0,,,,,oui
2025/2026,ISGRGL523,Qhse,4.0,IGL,03,semestre1,2.0,30.0,30.0,,,,,oui
2025/2026,ISGRCMP642,Cfao,4.0,CMP,03,semestre2,2.0,30.0,30.0,,,,,oui
