annee,codsem,codfil,codniv,typjour,fourche,heure,codpro,codmat,jour,codsal
2025/2026,S081225-141225,CFPFCL,01,Mardi,08H-12H,4,MADJONGOU,REAMONFLU,02,B13
2025/2026,S081225-141225,CFPFCL,01,Mardi,13H-17H,4,MADJONGOU,REAMONFLU,02,B13
2025/2026,S081225-141225,CFPFCL,01,Mercredi,08H-12H,4,MADJONGOU,REAMONFLU,03,B13
2025/2026,S081225-141225,CFPFCL,01,Mercredi,13H-17H,4,MADJONGOU,SELPREINS,03,A12
2025/2026,S081225-141225,CFPFCL,01,Vendredi,08H-12H,4,MADJONGOU,REAMONFLU,05,B13
2025/2026,S081225-141225,CFPFCL,01,Vendredi,13H-17H,4,MADJONGOU,REAMONFLU,05,B13
2025/2026,S081225-141225,CFPISA,01,Jeudi,08H-12H,4,CHBRUKO,INFORMATI,04,A21
2025/2026,S081225-141225,CFPISA,01,Mardi,13H-17H,4,GATCHAKOUTIO,INSRESTUY,02,A12
2025/2026,S081225-141225,CFPISA,01,Mercredi,08H-12H,4,JOKAMGA,MATHGENE1,03,A21
2025/2026,S081225-141225,CGE,01,Jeudi,08H-12H,4,CHBRUKO,INFORGEN1,04,B14
2025/2026,S081225-141225,CGE,01,Lundi,08H-12H,4,STTSAMO,INTANAFI1,01,B02
2025/2026,S081225-141225,CGE,01,Mardi,08H-12H,4,STTSAMO,INTANAFI1,02,B02
2025/2026,S081225-141225,CGE,01,Mardi,13H-17H,4,STTSAMO,CPTASSOR1,02,B04
2025/2026,S081225-141225,CGE,01,Mercredi,08H-12H,4,JOKAMGA,MATMATIQ1,03,A33
2025/2026,S081225-141225,CGE,01,Mercredi,13H-17H,4,STTSAMO,INTANAFI1,03,B02
2025/2026,S081225-141225,CGE,01,Samedi,08H-12H,4,STTSAMO,CPTASSOR1,06,B04
2025/2026,S081225-141225,CGE,01,Vendredi,08H-12H,4,STTSAMO,INTANAFI1,05,B02
2025/2026,S081225-141225,CHS,01,Jeudi,08H-12H,4,HEMEVOGBI,SCIDESMAT,04,B15
2025/2026,S081225-141225,CHS,01,Jeudi,13H-17H,4,HEMEVOGBI,SCIDESMAT,04,B15
2025/2026,S081225-141225,CHS,01,Lundi,08H-12H,4,CHBRUKO,TECINFCOM,01,A41
2025/2026,S081225-141225,CHS,01,Mardi,08H-12H,4,JOKAMGA,MATMATIQ1,02,A11
2025/2026,S081225-141225,CHS,01,Mardi,13H-17H,4,KUFOTSO,STATIQUE,02,B16
2025/2026,S081225-141225,CHS,01,Mercredi,08H-12H,4,HEMEVOGBI,SCIDESMAT,03,B15
2025/2026,S081225-141225,CHS,01,Mercredi,13H-17H,4,HEMEVOGBI,SCIDESMAT,03,B15
2025/2026,S081225-141225,CHS,01,Samedi,08H-12H,4,HEMEVOGBI,SCIDESMAT,06,B15
2025/2026,S081225-141225,CHS,01,Samedi,13H-17H,4,HEMEVOGBI,SCIDESMAT,06,B15
2025/2026,S081225-141225,CHS,01,Vendredi,08H-12H,4,KUFOTSO,STATIQUE,05,B16
2025/2026,S081225-141225,CHS,01,Vendredi,13H-17H,4,CHBRUKO,TECINFCOM,05,A23
2025/2026,S081225-141225,CMP,03,Jeudi,08H-12H,4,HUCHEDJOU,CONSMECA1,04,A43
2025/2026,S081225-141225,CMP,03,Jeudi,13H-17H,4,FOWAFFO,ANANUMING,04,A13
2025/2026,S081225-141225,CMP,03,Mardi,08H-12H,4,ACLADJOU,MECMILCON,02,A33
2025/2026,S081225-141225,CMP,03,Vendredi,08H-12H,4,FOWAFFO,ANANUMING,05,A13
2025/2026,S081225-141225,GTO,01,Jeudi,08H-12H,4,KUFOTSO,TECHTOPO1,04,B16
2025/2026,S081225-141225,GTO,01,Lundi,08H-12H,4,CHBRUKO,TECINFCOM,01,A41
2025/2026,S081225-141225,GTO,01,Mardi,08H-12H,4,JOKAMGA,MATMATIQ1,02,A11
2025/2026,S081225-141225,GTO,01,Mercredi,08H-12H,4,NAMBALIDAM,GEOINGTOP,03,B07
2025/2026,S081225-141225,GTO,01,Samedi,08H-12H,4,KUFOTSO,TECHTOPO1,06,B16
2025/2026,S081225-141225,GTO,01,Samedi,13H-17H,4,RODOULIWE,CALTOPME1,06,A23
2025/2026,S081225-141225,GTO,01,Vendredi,08H-12H,4,NAMBALIDAM,GEOINGTOP,05,B07
2025/2026,S081225-141225,GTO,01,Vendredi,13H-17H,4,KUFOTSO,TECHTOPO1,05,B16
2025/2026,S081225-141225,HNDET,01,Jeudi,13H-17H,4,NCMICHAEL,ENGLISH,04,A22
2025/2026,S081225-141225,HNDET,01,Lundi,13H-17H,4,GAKOM,ELECTRONA1,01,A11
2025/2026,S081225-141225,HNDET,01,Mardi,08H-12H,4,HANGOMSI,AUTPRAWOR,02,A22
2025/2026,S081225-141225,HNDET,01,Mardi,13H-17H,4,HANGOMSI,AUTPRAWOR,02,A22
2025/2026,S081225-141225,HNDET,01,Mercredi,08H-12H,4,YVFOTSO,BASELECIR,03,B09
2025/2026,S081225-141225,HNDET,01,Mercredi,13H-17H,4,GAKOM,ELECTRONA1,03,A11
2025/2026,S081225-141225,HNDET,01,Vendredi,08H-12H,4,YVFOTSO,BASELECIR,05,B09
2025/2026,S081225-141225,HNDET,01,Vendredi,13H-17H,4,YVFOTSO,BASELECIR,05,B09
2025/2026,S081225-141225,HNDET,02,Jeudi,08H-12H,4,YVFOTSO,ELESCHCOM,04,A42
2025/2026,S081225-141225,HNDET,02,Jeudi,13H-17H,4,YVFOTSO,ELESCHCOM,04,A42
2025/2026,S081225-141225,HNDET,02,Lundi,08H-12H,4,HANGOMSI,TECPROTRA,01,B11
2025/2026,S081225-141225,HNDET,02,Mardi,08H-12H,4,YVFOTSO,ELESCHCOM,02,A32
2025/2026,S081225-141225,HNDET,02,Mardi,13H-17H,4,YVFOTSO,ELESCHCOM,02,A32
2025/2026,S081225-141225,HNDET,02,Mercredi,08H-12H,4,YODIAPNADA,ACCOUNTIN,03,A41
2025/2026,S081225-141225,HNDET,02,Mercredi,13H-17H,4,HANGOMSI,TECPROTRA,03,A22
2025/2026,S081225-141225,IGL,01,Jeudi,08H-12H,4,XXTALLA,ENVMICORD,04,A13
2025/2026,S081225-141225,IGL,01,Jeudi,13H-17H,4,HSBIBOUM,INTSYSINF,04,A32
2025/2026,S081225-141225,IGL,01,Lundi,08H-12H,4,ADMINISTR,TECINFCOM,01,A32
2025/2026,S081225-141225,IGL,01,Lundi,13H-17H,4,BIWALVEDE,OUTBUREAU,01,A13
2025/2026,S081225-141225,IGL,01,Mardi,08H-12H,4,JOKAMGA,MATMATIQ1,02,A11
2025/2026,S081225-141225,IGL,01,Mardi,13H-17H,4,XXTALLA,ENVMICORD,02,A13
2025/2026,S081225-141225,IGL,01,Mercredi,08H-12H,4,HSBIBOUM,INTSYSINF,03,A43
2025/2026,S081225-141225,IGL,01,Vendredi,08H-12H,4,HSBIBOUM,INTSYSINF,05,A43
2025/2026,S081225-141225,IGL,01,Vendredi,13H-17H,4,CHBRUKO,INFORMAT1,05,A42
2025/2026,S081225-141225,IGL,03,Jeudi,08H-12H,4,FOWAFFO,ANANUMERI,04,B01
2025/2026,S081225-141225,IGL,03,Jeudi,13H-17H,4,FOWAFFO,ANANUMERI,04,B01
2025/2026,S081225-141225,IGL,03,Mercredi,08H-12H,4,HSBIBOUM,ADMBASDON,03,B04
2025/2026,S081225-141225,IGL,03,Mercredi,13H-17H,4,HSBIBOUM,ADMBASDON,03,B04
2025/2026,S081225-141225,IGL,03,Vendredi,08H-12H,4,BIWALVEDE,CONGENSYS,05,A33
2025/2026,S081225-141225,IGL,03,Vendredi,13H-17H,4,JOKAMGA,CCNA1,05,A31
2025/2026,S081225-141225,ISA,01,Jeudi,08H-12H,4,GAINDINIBOLE,THERMODIN,04,A23
2025/2026,S081225-141225,ISA,01,Lundi,08H-12H,4,ADMINISTR,TECINFCOM,01,A32
2025/2026,S081225-141225,ISA,01,Lundi,13H-17H,4,JOSANGONE,STADYNFLU,01,A42
2025/2026,S081225-141225,ISA,01,Mardi,08H-12H,4,JOKAMGA,MATMATIQ1,02,A11
2025/2026,S081225-141225,ISA,01,Mardi,13H-17H,4,GATCHAKOUTIO,INSRESTUY,02,A12
2025/2026,S081225-141225,ISA,01,Mercredi,13H-17H,4,JOSANGONE,STADYNFLU,03,A42
2025/2026,S081225-141225,ISA,01,Samedi,13H-17H,4,GAINDINIBOLE,THERMODIN,06,A33
2025/2026,S081225-141225,ISA,01,Vendredi,13H-17H,4,ADMINISTR,TECINFCOM,05,A33
2025/2026,S081225-141225,LTM,01,Jeudi,08H-12H,4,YODIAPNADA,GENECONOM,04,A12
2025/2026,S081225-141225,LTM,01,Jeudi,13H-17H,4,NCMICHAEL,ENGLISH,04,A22
2025/2026,S081225-141225,LTM,01,Lundi,13H-17H,4,AUTCHENTE,INTLOGMAN,01,A32
2025/2026,S081225-141225,LTM,01,Mardi,08H-12H,4,YODIAPNADA,GENECONOM,02,A12
2025/2026,S081225-141225,LTM,01,Mardi,13H-17H,4,YODIAPNADA,GENECONOM,02,A42
2025/2026,S081225-141225,LTM,01,Mercredi,08H-12H,4,AUTCHENTE,INTLOGMAN,03,A32
2025/2026,S081225-141225,LTM,01,Mercredi,13H-17H,4,AUTCHENTE,INTLOGMAN,03,A32
2025/2026,S081225-141225,LTM,01,Samedi,08H-12H,4,YODIAPNADA,SHIINTTRA,06,A21
2025/2026,S081225-141225,LTM,01,Samedi,13H-17H,4,YODIAPNADA,TRANSPLAW,06,A12
2025/2026,S081225-141225,MEB,01,Jeudi,13H-17H,4,KUFOTSO,RESISMAT1,04,A41
2025/2026,S081225-141225,MEB,01,Lundi,08H-12H,4,CHBRUKO,TECINFCOM,01,A41
2025/2026,S081225-141225,MEB,01,Lundi,13H-17H,4,FOTCHATCIM,BOTANANAT,01,B16
2025/2026,S081225-141225,MEB,01,Mardi,08H-12H,4,JOKAMGA,MATMATIQ1,02,A11
2025/2026,S081225-141225,MEB,01,Mardi,13H-17H,4,KUFOTSO,STATIQUE,02,B16
2025/2026,S081225-141225,MEB,01,Mercredi,08H-12H,4,FOTCHATCIM,BOTANANAT,03,B16
2025/2026,S081225-141225,MEB,01,Mercredi,13H-17H,4,FOTCHATCIM,DESASSORD,03,B10
2025/2026,S081225-141225,MEB,01,Samedi,13H-17H,4,KUFOTSO,RESISMAT1,06,A41
2025/2026,S081225-141225,MEB,01,Vendredi,08H-12H,4,KUFOTSO,STATIQUE,05,B16
2025/2026,S081225-141225,MEB,01,Vendredi,13H-17H,4,CHBRUKO,TECINFCOM,05,A23
2025/2026,S081225-141225,MEC,01,Jeudi,13H-17H,4,NCMICHAEL,ENGLISH,04,A22
2025/2026,S081225-141225,MEC,01,Lundi,08H-12H,4,AUTCHENTE,STRENMAT1,01,A31
2025/2026,S081225-141225,MEC,01,Lundi,13H-17H,4,HANGOMSI,ANAMANUF1,01,A22
2025/2026,S081225-141225,MEC,01,Mardi,08H-12H,4,HANGOMSI,AUTOMAT1,02,A21
2025/2026,S081225-141225,MEC,01,Mardi,13H-17H,4,HANGOMSI,AUTOMAT1,02,A21
2025/2026,S081225-141225,MEC,01,Mercredi,08H-12H,4,HANGOMSI,ANAMANUF1,03,A22
2025/2026,S081225-141225,MEC,01,Vendredi,08H-12H,4,AUTCHENTE,STRENMAT1,05,A31
2025/2026,S081225-141225,MKA,01,Jeudi,13H-17H,4,CHBRUKO,TECINFCOM,04,A21
2025/2026,S081225-141225,MKA,01,Lundi,08H-12H,4,CHBRUKO,TECINFCOM,01,A21
2025/2026,S081225-141225,MKA,01,Lundi,13H-17H,4,DAYONZO,MECAGENE1,01,B10
2025/2026,S081225-141225,MKA,01,Mardi,08H-12H,4,JOKAMGA,MATMATIQ1,02,A11
2025/2026,S081225-141225,MKA,01,Mardi,13H-17H,4,ACLADJOU,DEVVEHAUT,02,A41
2025/2026,S081225-141225,MKA,01,Mercredi,08H-12H,4,HUCHEDJOU,STRFONGMP,03,A11
2025/2026,S081225-141225,MKA,01,Samedi,08H-12H,4,DJAMINOU,ORGCHACAR,06,A11
2025/2026,S081225-141225,MKA,01,Samedi,13H-17H,4,DJAMINOU,ORGCHACAR,06,A11
2025/2026,S081225-141225,MKA,01,Vendredi,13H-17H,4,CHBRUKO,TECINFCOM,05,A21
2025/2026,S081225-141225,MLS,01,Jeudi,08H-12H,4,CATCHUENTE,ANATAPHY1,04,A41
2025/2026,S081225-141225,MLS,01,Jeudi,13H-17H,4,NCMICHAEL,ENGLISH,04,A22
2025/2026,S081225-141225,MLS,01,Mardi,08H-12H,4,NAMBALIDAM,CELLBIOLO,02,A31
2025/2026,S081225-141225,MLS,01,Mercredi,13H-17H,4,MADZELAFEN,GENBIOCHE,03,A21
2025/2026,S081225-141225,MLS,01,Samedi,08H-12H,4,CATCHUENTE,ANATAPHY1,06,A41
2025/2026,S081225-141225,MLS,01,Vendredi,08H-12H,4,MADZELAFEN,SOCANTPHY,05,A41
2025/2026,S081225-141225,MLS,01,Vendredi,13H-17H,4,MADZELAFEN,SOCANTPHY,05,A41
2025/2026,S081225-141225,MLS,02,Jeudi,13H-17H,4,CEAWUNGDEH,MEDICENTO,04,A33
2025/2026,S081225-141225,MLS,02,Mardi,08H-12H,4,ZIKOM,SIMULATIO,02,B09
2025/2026,S081225-141225,MLS,02,Mercredi,08H-12H,4,CEAWUNGDEH,MEDICENTO,03,A42
2025/2026,S081225-141225,MLS,02,Mercredi,13H-17H,4,RONSOM,BACTERIOL,03,A33
2025/2026,S081225-141225,MLS,02,Samedi,13H-17H,4,RONSOM,BACTERIOL,06,A33
2025/2026,S081225-141225,MLS,02,Vendredi,08H-12H,4,MADZELAFEN,CLIBIOCHE1,05,B11
2025/2026,S081225-141225,MLS,02,Vendredi,13H-17H,4,MADZELAFEN,CLIBIOCHE1,05,B11
2025/2026,S081225-141225,MLS,03,Jeudi,13H-17H,4,CEAWUNGDEH,CLINPARA2,04,A11
2025/2026,S081225-141225,MLS,03,Mardi,13H-17H,4,CEAWUNGDEH,CLINPARA2,02,A11
2025/2026,S081225-141225,MLS,03,Mercredi,08H-12H,4,RONSOM,CLINBACTE,03,A23
2025/2026,S081225-141225,MLS,03,Vendredi,08H-12H,4,DASAIFA,CLINHEMA3,05,A11
2025/2026,S081225-141225,NUS,01,Jeudi,08H-12H,4,CATCHUENTE,ANATAPHY1,04,A41
2025/2026,S081225-141225,NUS,01,Jeudi,13H-17H,4,NCMICHAEL,ENGLISH,04,A22
2025/2026,S081225-141225,NUS,01,Lundi,08H-12H,4,ZIKOM,HISTORYNU,01,A42
2025/2026,S081225-141225,NUS,01,Mardi,08H-12H,4,NAMBALIDAM,CELLBIOLO,02,A31
2025/2026,S081225-141225,NUS,01,Mercredi,13H-17H,4,MADZELAFEN,GENBIOCHE,03,A21
2025/2026,S081225-141225,NUS,01,Samedi,08H-12H,4,CATCHUENTE,ANATAPHY1,06,A41
2025/2026,S081225-141225,NUS,01,Vendredi,08H-12H,4,MADZELAFEN,SOCANTPHY,05,A41
2025/2026,S081225-141225,NUS,01,Vendredi,13H-17H,4,MADZELAFEN,SOCANTPHY,05,A41
2025/2026,S081225-141225,NUS,02,Jeudi,08H-12H,4,CEAWUNGDEH,POSPARTU2,04,A32
2025/2026,S081225-141225,NUS,02,Jeudi,13H-17H,4,CATCHUENTE,GENERPHAR,04,A23
2025/2026,S081225-141225,NUS,02,Lundi,08H-12H,4,ZEEKINLEH,BREASTFEE,01,A11
2025/2026,S081225-141225,NUS,02,Lundi,13H-17H,4,ZIKOM,CAREPEDIAT,01,A21
2025/2026,S081225-141225,NUS,02,Mardi,08H-12H,4,ZIKOM,SIMULATIO,02,B09
2025/2026,S081225-141225,NUS,02,Mardi,13H-17H,4,NAMBALIDAM,PATHOLOGI,02,A23
2025/2026,S081225-141225,NUS,02,Mercredi,08H-12H,4,ZIKOM,ARTIFEEDI,03,A31
2025/2026,S081225-141225,NUS,02,Mercredi,13H-17H,4,NAMBALIDAM,PATHOLOGI,03,A23
2025/2026,S081225-141225,NUS,02,Samedi,08H-12H,4,MADZELAFEN,CARNEWBOR,06,A22
2025/2026,S081225-141225,NUS,02,Samedi,13H-17H,4,MADZELAFEN,CARNEWBOR,06,A22
2025/2026,S081225-141225,NUS,02,Vendredi,08H-12H,4,CATCHUENTE,GYNCOLCAR,05,A23
2025/2026,S081225-141225,NUS,02,Vendredi,13H-17H,4,CEAWUNGDEH,POSPARTU2,05,A32
2025/2026,S081225-141225,NUS,03,Mardi,08H-12H,4,ZIKOM,SIMULATIO,02,B09
2025/2026,S081225-141225,NUS,03,Vendredi,13H-17H,4,CATCHUENTE,SCHOMEDEC,05,A11
2025/2026,S081225-141225,QSRI,03,Jeudi,08H-12H,4,JUMALAVAYE,GESRISCAT,04,A01
2025/2026,S081225-141225,QSRI,03,Jeudi,13H-17H,4,FOWAFFO,ANANUMING,04,A13
2025/2026,S081225-141225,QSRI,03,Lundi,08H-12H,4,JUMALAVAYE,GESRISCAT,01,A01
2025/2026,S081225-141225,QSRI,03,Lundi,13H-17H,4,JUMALAVAYE,GESRISCAT,01,A01
2025/2026,S081225-141225,QSRI,03,Mardi,08H-12H,4,ACLADJOU,MECMILCON,02,A33
2025/2026,S081225-141225,QSRI,03,Mercredi,13H-17H,4,JUMALAVAYE,GESRISCAT,03,A01
2025/2026,S081225-141225,QSRI,03,Vendredi,08H-12H,4,FOWAFFO,ANANUMING,05,A13
2025/2026,S081225-141225,QSRI,03,Vendredi,13H-17H,4,JUMALAVAYE,GESRISCAT,05,A01
2025/2026,S081225-141225,SFM,01,Jeudi,08H-12H,4,CHBRUKO,TECINFCOM,04,A11
2025/2026,S081225-141225,SFM,01,Jeudi,13H-17H,4,CHMBA,BIOCHICLI1,04,A31
2025/2026,S081225-141225,SFM,01,Lundi,08H-12H,4,DAYONZO,PHYSIQUES,01,A12
2025/2026,S081225-141225,SFM,01,Lundi,13H-17H,4,THNGAKO,CONTHESCI,01,A23
2025/2026,S081225-141225,SFM,01,Mardi,08H-12H,4,THNGAKO,CONTHESCI,02,A23
2025/2026,S081225-141225,SFM,01,Mercredi,08H-12H,4,ISMBEMIN,ETHIQDEON,03,A12
2025/2026,S081225-141225,SFM,01,Mercredi,13H-17H,4,FOWAFFO,MATMATIQ1,03,A31
2025/2026,S081225-141225,SFM,01,Samedi,08H-12H,4,CHMBA,BIOCHICLI1,06,A31
2025/2026,S081225-141225,SFM,01,Vendredi,08H-12H,4,ISMBEMIN,ETHIQDEON,05,A12
2025/2026,S081225-141225,SFM,01,Vendredi,13H-17H,4,ISMBEMIN,ETHIQDEON,05,A22
2025/2026,S081225-141225,SFM,04,Jeudi,17H30-21H30,4,CHMBA,GESTHOSPI,04,A41
2025/2026,S081225-141225,SFM,04,Lundi,17H30-21H30,4,THNGAKO,SOIMATSRP,01,A23
2025/2026,S081225-141225,SFM,04,Mardi,17H30-21H30,4,ROMBAKMENE,PRESPYACC,02,A32
2025/2026,S081225-141225,SFM,04,Mercredi,17H30-21H30,4,THNGAKO,SOIMATSRP,03,A23
2025/2026,S081225-141225,SFM,04,Vendredi,17H30-21H30,4,ROMBAKMENE,PRESPYACC,05,A32
2025/2026,S081225-141225,SIN,01,Jeudi,08H-12H,4,CHBRUKO,TECINFCOM,04,A11
2025/2026,S081225-141225,SIN,01,Jeudi,13H-17H,4,CHMBA,BIOCHIMIE,04,A12
2025/2026,S081225-141225,SIN,01,Lundi,08H-12H,4,DAYONZO,PHYSIQUES,01,A12
2025/2026,S081225-141225,SIN,01,Lundi,13H-17H,4,THNGAKO,CONTHESCI,01,A23
2025/2026,S081225-141225,SIN,01,Mardi,08H-12H,4,THNGAKO,CONTHESCI,02,A23
2025/2026,S081225-141225,SIN,01,Mercredi,08H-12H,4,ISMBEMIN,ETHIQDEON,03,A12
2025/2026,S081225-141225,SIN,01,Mercredi,13H-17H,4,FOWAFFO,MATMATIQ1,03,A31
2025/2026,S081225-141225,SIN,01,Samedi,08H-12H,4,CHMBA,BIOCHIMIE,06,A12
2025/2026,S081225-141225,SIN,01,Vendredi,08H-12H,4,ISMBEMIN,ETHIQDEON,05,A12
2025/2026,S081225-141225,SIN,01,Vendredi,13H-17H,4,ISMBEMIN,ETHIQDEON,05,A22
2025/2026,S081225-141225,SIN,04,Jeudi,17H30-21H30,4,CHMBA,GESTHOSPI,04,A41
2025/2026,S081225-141225,SIN,04,Lundi,17H30-21H30,4,THNGAKO,SOIMATSRP,01,A23
2025/2026,S081225-141225,SIN,04,Mardi,17H30-21H30,4,ROMBAKMENE,PRESPYACC,02,A32
2025/2026,S081225-141225,SIN,04,Mercredi,17H30-21H30,4,THNGAKO,SOIMATSRP,03,A23
2025/2026,S081225-141225,SIN,04,Vendredi,17H30-21H30,4,ROMBAKMENE,PRESPYACC,05,A32
2025/2026,S081225-141225,TLB,01,Jeudi,08H-12H,4,CHBRUKO,TECINFCOM,04,B08
2025/2026,S081225-141225,TLB,01,Jeudi,13H-17H,4,CHMBA,BIOCHIMIE,04,B10
2025/2026,S081225-141225,TLB,01,Lundi,08H-12H,4,DAYONZO,PHYSIGENE,01,A33
2025/2026,S081225-141225,TLB,01,Lundi,13H-17H,4,THNGAKO,CONTHESCI,01,A41
2025/2026,S081225-141225,TLB,01,Mardi,08H-12H,4,THNGAKO,CONTHESCI,02,A41
2025/2026,S081225-141225,TLB,01,Mardi,13H-17H,4,ROMBAKMENE,SECOURISM,02,A33
2025/2026,S081225-141225,TLB,01,Mercredi,08H-12H,4,ISMBEMIN,ETHDEOMED,03,B10
2025/2026,S081225-141225,TLB,01,Mercredi,13H-17H,4,FOWAFFO,MATMATIQU,03,A41
2025/2026,S081225-141225,TLB,01,Samedi,08H-12H,4,CHMBA,BIOCHIMIE,06,B10
2025/2026,S081225-141225,TLB,01,Vendredi,08H-12H,4,ISMBEMIN,ETHDEOMED,05,B10
2025/2026,S081225-141225,TLB,01,Vendredi,13H-17H,4,ISMBEMIN,ETHDEOMED,05,B10
2024/2025,S091224-151224,BAT,01,Mardi,08H-12H,4,HUDJOMO,ECOORGENT,02,ETA202
2024/2025,S091224-151224,BAT,01,Mardi,13H-17H,4,ISMBEMIN,DROITCIVI,02,ETA402
2024/2025,S091224-151224,BAT,01,Mercredi,08H-12H,4,DENIMENI,INFORMATP,03,ETA102
2024/2025,S091224-151224,BAT,01,Mercredi,13H-17H,4,LEATANGANA,FRANCAIS2,03,ETA203
2024/2025,S091224-151224,BAT,02,Jeudi,08H-12H,4,MOYEMELE,MATHGENE2,04,ETA204
2024/2025,S091224-151224,BAT,02,Jeudi,13H-17H,4,ISMBEMIN,DROITCIVI,04,RDC01
2024/2025,S091224-151224,BAT,02,Lundi,08H-12H,4,GANOUGUE,TPPROTECH,01,RDC05
2024/2025,S091224-151224,BAT,02,Lundi,13H-17H,4,GANOUGUE,TPPROTECH,01,RDC05
2024/2025,S091224-151224,BAT,02,Mardi,08H-12H,4,GANOUGUE,TPPROTECH,02,RDC04
2024/2025,S091224-151224,BAT,02,Mardi,13H-17H,4,GANOUGUE,TPPROTECH,02,RDC04
2024/2025,S091224-151224,BAT,02,Mercredi,08H-12H,4,GANOUGUE,TPPROTECH,03,RDC05
2024/2025,S091224-151224,BAT,02,Mercredi,13H-17H,4,GANOUGUE,TPPROTECH,03,RDC05
2024/2025,S091224-151224,BAT,02,Samedi,08H-12H,4,KUFOTSO,BETOARME2,06,ETA402
2024/2025,S091224-151224,BAT,02,Samedi,13H-17H,4,KUFOTSO,BETOARME2,06,ETA402
2024/2025,S091224-151224,BAT,02,Vendredi,08H-12H,4,DETATCHUM,PHYSIGEN2,05,ETA302
2024/2025,S091224-151224,BAT,02,Vendredi,13H-17H,4,DETATCHUM,PHYSIGEN2,05,ETA302
2024/2025,S091224-151224,BOW,02,Jeudi,08H-12H,4,FOWAFFO,MATMATICS,04,RDC02
2024/2025,S091224-151224,BOW,02,Jeudi,13H-17H,4,DENIMENI,REDRAPSTA,04,ETA303
2024/2025,S091224-151224,BOW,02,Lundi,08H-12H,4,YVFOTSO,PHYSICS1,01,ETA302
2024/2025,S091224-151224,BOW,02,Lundi,13H-17H,4,YVFOTSO,PHYSICS1,01,ETA302
2024/2025,S091224-151224,BOW,02,Mardi,08H-12H,4,RAYAMBOP,APPMECHA2,02,ETA302
2024/2025,S091224-151224,BOW,02,Mardi,13H-17H,4,RAYAMBOP,APPMECHA2,02,ETA302
2024/2025,S091224-151224,BOW,02,Mercredi,08H-12H,4,YVFOTSO,PHYSICS1,03,RDC01
2024/2025,S091224-151224,BOW,02,Mercredi,13H-17H,4,YVFOTSO,PHYSICS1,03,RDC01
2024/2025,S091224-151224,BOW,02,Samedi,08H-12H,4,YVFOTSO,PHYSICS1,06,ETA202
2024/2025,S091224-151224,BOW,02,Samedi,13H-17H,4,DENIMENI,REDRAPSTA,06,RDC01
2024/2025,S091224-151224,BOW,02,Vendredi,08H-12H,4,YVFOTSO,PHYSICS1,05,RDC02
2024/2025,S091224-151224,BOW,02,Vendredi,13H-17H,4,YVFOTSO,PHYSICS1,05,RDC02
2024/2025,S091224-151224,BST,01,Jeudi,08H-12H,4,DENIMENI,INFORMATP,04,ETA402
2024/2025,S091224-151224,BST,01,Jeudi,13H-17H,4,FOWAFFO,MATMATIC1,04,ETA302
2024/2025,S091224-151224,BST,01,Lundi,08H-12H,4,DENDIFON,ORGOFWORK,01,RDC03
2024/2025,S091224-151224,BST,01,Lundi,13H-17H,4,DENDIFON,GENERCONS,01,ETA203
2024/2025,S091224-151224,BST,01,Mardi,08H-12H,4,DENDIFON,ORGOFWORK,02,ETA402
2024/2025,S091224-151224,BST,01,Mardi,13H-17H,4,DENDIFON,GENERCONS,02,ETA103
2024/2025,S091224-151224,BST,01,Mercredi,08H-12H,4,DENIMENI,INFORMATP,03,ETA102
2024/2025,S091224-151224,BST,01,Mercredi,13H-17H,4,DENIMENI,INFORMATP,03,ETA102
2024/2025,S091224-151224,BST,01,Samedi,08H-12H,4,DENDIFON,ORGOFWORK,06,ETA102
2024/2025,S091224-151224,BST,01,Vendredi,08H-12H,4,FOWAFFO,MATMATIC1,05,ETA303
2024/2025,S091224-151224,BST,01,Vendredi,13H-17H,4,DENIMENI,INFORMATP,05,RDC01
2024/2025,S091224-151224,CFP,01,Jeudi,08H-12H,4,BEKENFACK,SEMIOGEN,04,RDC01
2024/2025,S091224-151224,CFP,01,Lundi,08H-12H,4,ALHAPPY,MALINFPAR,01,RDC02
2024/2025,S091224-151224,CFP,01,Lundi,13H-17H,4,ALHAPPY,MALINFPAR,01,RDC02
2024/2025,S091224-151224,CFP,01,Mardi,08H-12H,4,BEKENFACK,SEMIOGEN,02,RDC02
2024/2025,S091224-151224,CFP,01,Mardi,13H-17H,4,BEKENFACK,SEMIOGEN,02,RDC02
2024/2025,S091224-151224,CFP,01,Mercredi,08H-12H,4,BEKENFACK,SEMIOGEN,03,ETA302
2024/2025,S091224-151224,CFP,01,Mercredi,13H-17H,4,BEKENFACK,SEMIOGEN,03,ETA302
2024/2025,S091224-151224,CFP,01,Vendredi,08H-12H,4,ALHAPPY,MALINFPAR,05,ETA401
2024/2025,S091224-151224,CFP,01,Vendredi,13H-17H,4,ALHAPPY,MALINFPAR,05,ETA401
2024/2025,S091224-151224,ELN,02,Jeudi,08H-12H,4,FOWAFFO,MATMATIC3,04,RDC02
2024/2025,S091224-151224,ELN,02,Jeudi,13H-17H,4,DENIMENI,REDRAPSTA,04,ETA303
2024/2025,S091224-151224,ELN,02,Lundi,08H-12H,4,YVFOTSO,PHYSICS1,01,ETA302
2024/2025,S091224-151224,ELN,02,Lundi,13H-17H,4,YVFOTSO,PHYSICS1,01,ETA302
