annee,codsem,codfil,codniv,typjour,fourche,heure,codpro,codmat,jour,codsal
2025/2026,S011225-071225,CFPFCL,01,Lundi,13H-17H,4,MADJONGOU,SELPREINS,01,B06
2025/2026,S011225-071225,CFPFCL,01,Mardi,08H-12H,4,MADJONGOU,SELPREINS,02,A33
2025/2026,S011225-071225,CFPFCL,01,Mardi,13H-17H,4,MADJONGOU,SELPREINS,02,A33
2025/2026,S011225-071225,CFPFCL,01,Mercredi,08H-12H,4,MADJONGOU,EXERPROFE,03,B03
2025/2026,S011225-071225,CFPFCL,01,Mercredi,13H-17H,4,MADJONGOU,SELPREINS,03,B06
2025/2026,S011225-071225,CFPFCL,01,Samedi,08H-12H,4,CHGOMA,ELAPLAMAI,06,A32
2025/2026,S011225-071225,CFPFCL,01,Vendredi,08H-12H,4,CHGOMA,ELAPLAMAI,05,A32
2025/2026,S011225-071225,CFPFCL,01,Vendredi,13H-17H,4,CHBRUKO,INFORMATI,05,A23
2025/2026,S011225-071225,CFPISA,01,Jeudi,13H-17H,4,GAINDINIBOLE,INSAPPSAN,04,A41
2025/2026,S011225-071225,CFPISA,01,Lundi,08H-12H,4,CHGOMA,ENTEREPAR,01,A43
2025/2026,S011225-071225,CFPISA,01,Mardi,13H-17H,4,GATCHAKOUTIO,INSRESTUY,02,A12
2025/2026,S011225-071225,CFPISA,01,Mercredi,08H-12H,4,JOKAMGA,MATHGENE1,03,B07
2025/2026,S011225-071225,CFPISA,01,Samedi,08H-12H,4,CHGOMA,ENTEREPAR,06,A43
2025/2026,S011225-071225,CFPISA,01,Vendredi,13H-17H,4,CHBRUKO,INFORMATI,05,B10
2025/2026,S011225-071225,CGE,01,Jeudi,13H-17H,4,HUDJOMO,ECONOGENE,04,B10
2025/2026,S011225-071225,CGE,01,Lundi,08H-12H,4,STTSAMO,OPECOURT1,01,A41
2025/2026,S011225-071225,CGE,01,Lundi,13H-17H,4,HUDJOMO,ECONOGENE,01,B10
2025/2026,S011225-071225,CGE,01,Mardi,08H-12H,4,STTSAMO,OPECOURT1,02,B08
2025/2026,S011225-071225,CGE,01,Mardi,13H-17H,4,STTSAMO,CPTASSOR1,02,A32
2025/2026,S011225-071225,CGE,01,Mercredi,08H-12H,4,JOKAMGA,MATMATIQ1,03,A11
2025/2026,S011225-071225,CGE,01,Mercredi,13H-17H,4,STTSAMO,OPECOURT1,03,B01
2025/2026,S011225-071225,CGE,01,Vendredi,13H-17H,4,CHBRUKO,INFORGEN1,05,A13
2025/2026,S011225-071225,CHS,01,Jeudi,08H-12H,4,FRLENOU,DESSIBASE,04,A22
2025/2026,S011225-071225,CHS,01,Jeudi,13H-17H,4,CHBRUKO,TECHNINFC,04,A31
2025/2026,S011225-071225,CHS,01,Lundi,08H-12H,4,CHBRUKO,TECHNINFC,01,A31
2025/2026,S011225-071225,CHS,01,Mardi,08H-12H,4,JOKAMGA,MATMATIQ1,02,A11
2025/2026,S011225-071225,CHS,01,Mercredi,08H-12H,4,HEMEVOGBI,MATMETALL,03,A31
2025/2026,S011225-071225,CHS,01,Mercredi,13H-17H,4,HEMEVOGBI,MATMETALL,03,A31
2025/2026,S011225-071225,CHS,01,Samedi,08H-12H,4,JOKAMGA,MATMATIQ1,06,A11
2025/2026,S011225-071225,CHS,01,Samedi,13H-17H,4,KUFOTSO,STATIQUE,06,B09
2025/2026,S011225-071225,CHS,01,Vendredi,08H-12H,4,FRLENOU,DESSIBASE,05,A22
2025/2026,S011225-071225,CMP,03,Jeudi,08H-12H,4,JUMALAVAYE,EQUADIFFE,04,B11
2025/2026,S011225-071225,CMP,03,Jeudi,13H-17H,4,ACLADJOU,MECMILCON,04,A22
2025/2026,S011225-071225,CMP,03,Lundi,08H-12H,4,JUMALAVAYE,EQUADIFFE,01,B11
2025/2026,S011225-071225,CMP,03,Lundi,13H-17H,4,JUMALAVAYE,EQUADIFFE,01,B11
2025/2026,S011225-071225,CMP,03,Mercredi,08H-12H,4,KOWELVEDE,TECHNICOM,03,A33
2025/2026,S011225-071225,GTO,01,Jeudi,13H-17H,4,CHBRUKO,TECINFCOM,04,A23
2025/2026,S011225-071225,GTO,01,Lundi,08H-12H,4,CHBRUKO,TECINFCOM,01,A23
2025/2026,S011225-071225,GTO,01,Lundi,13H-17H,4,NAMBALIDAM,GEOINGTOP,01,B08
2025/2026,S011225-071225,GTO,01,Mardi,08H-12H,4,JOKAMGA,MATMATIQ1,02,A11
2025/2026,S011225-071225,GTO,01,Mardi,13H-17H,4,NAMBALIDAM,GEOINGTOP,02,A31
2025/2026,S011225-071225,GTO,01,Mercredi,08H-12H,4,KUFOTSO,TECHTOPO1,03,A11
2025/2026,S011225-071225,GTO,01,Samedi,08H-12H,4,JOKAMGA,MATMATIQ1,06,A11
2025/2026,S011225-071225,GTO,01,Samedi,13H-17H,4,RODOULIWE,CALTOPME1,06,A23
2025/2026,S011225-071225,GTO,01,Vendredi,08H-12H,4,NAMBALIDAM,GEOINGTOP,05,A12
2025/2026,S011225-071225,HNDET,01,Jeudi,08H-12H,4,YVFOTSO,CHEMISTRY,04,A31
2025/2026,S011225-071225,HNDET,01,Jeudi,13H-17H,4,NCMICHAEL,ENGLISH,04,A42
2025/2026,S011225-071225,HNDET,01,Lundi,13H-17H,4,GAKOM,CONSTDESI,01,B16
